RECORDID,gdelt_score,gold_labels
20200811-38496,-0.486854917234664,-1
20200805-72468,3.24909747292419,0
20200817-17810,-5.26315789473684,-1
20200727-7699,-4.5662100456621,-1
20200815-7456,-8.59375,-1
20200811-48764,-4.85651214128035,1
20200423-53523,-0.0601322910402886,1
20200521-28456,1.76348547717842,0
20200828-12262,-1.92023633677991,0
20200903-22043,-1.19840213049268,1
20200707-29697,0.275482093663912,1
20200726-30138,-2.05761316872428,0
20200321-18921,0.79185520361991,-1
20200717-16663,-5.32319391634981,-1
20200817-80618,-0.332225913621263,0
20200519-8463,1.92307692307692,1
20200612-83410,-5.52845528455285,-1
20200402-55252,-1.09289617486339,-1
20200629-56671,-4.76190476190476,-1
20200502-46235,-8.1039755351682,-1
20200305-47394,-0.303030303030303,0
20200715-49790,-1.94174757281553,-1
20200726-4304,1.10864745011086,-1
20200529-29585,-2.05047318611987,0
20200411-53362,-3.01003344481605,-1
20200923-83178,0.819672131147541,0
20200813-28739,0.634632819582956,0
20200817-74368,-3.71024734982332,-1
20200828-39767,-1.71358629130967,-1
20200519-31518,-2.54010695187166,1
20200803-67808,-1.24333925399645,-1
20200902-55512,-1.45228215767635,-1
20200508-18323,-3.48902644907147,-1
20200826-19897,-2.05278592375367,-1
20200412-483,0.352112676056338,1
20200721-56103,-3.92390011890606,-1
20200416-7636,-1.31578947368421,1
20200825-86299,-2.66393442622951,-1
20200914-82019,-2.28136882129278,-1
20200628-16896,-0.28957528957529,0
20200319-46338,-3.22812051649928,-1
20200620-46413,0.925925925925926,1
20200313-93128,-0.883652430044183,-1
20200704-6465,-2.07852193995381,-1
20200626-10304,-8.02139037433155,-1
20200717-14318,-1.4701282452299,1
20200714-72292,-0.255754475703325,1
20200804-55169,-2.04081632653061,-1
20200430-74926,-3.18627450980392,-1
20200724-162,0.211416490486258,1
20200907-22009,-3.37001375515818,-1
20200701-45171,-3.30812854442344,-1
20200829-3979,-2.10084033613445,0
20200702-47291,-0.427350427350428,1
20200715-45751,-0.489715964740451,0
20200825-6060,1.73160173160173,-1
20200708-74951,-1.36986301369863,1
20200510-37193,-0.784313725490196,1
20200630-55150,-1.69491525423729,-1
20200518-33682,-4.15676959619952,-1
20200820-92674,0.443458980044346,-1
20200903-31220,-4.35835351089588,-1
20200606-7326,-6.43015521064302,-1
20200403-9336,-2.77777777777778,-1
20200912-39917,-2.95698924731183,-1
20200708-54822,1.7910447761194,-1
20200704-1586,2.9585798816568,1
20200811-25618,-4.76190476190476,-1
20200828-70267,-4.10798122065728,-1
20200328-979,-7.12328767123288,-1
20200723-88363,0.571428571428572,0
20200630-17392,0.662251655629139,0
20200612-86365,-2.35294117647059,0
20200803-34821,-5.47945205479452,0
20200329-40021,0.826446280991735,-1
20200324-93223,-1.18617844249613,-1
20200817-27703,-1.40845070422535,1
20200805-51113,-1.41969831410825,0
20200323-78536,-1.85873605947955,-1
20200323-98425,-3.21428571428571,-1
20200813-6186,-1.45208131655373,-1
20200708-19978,-2.56410256410256,-1
20200415-9749,-0.550964187327824,0
20200810-22857,-4.40771349862259,-1
20200918-7322,2.73972602739726,1
20200518-31715,-1.50753768844221,-1
20200726-13689,-5.65110565110565,-1
